"","sigma","series"
"2011-05-03",1.11063418457559,0.0145531645187609
"2011-05-04",1.16541583592572,0.140178336521237
"2011-05-05",1.14094623303238,0.0127405787042346
"2011-05-06",1.11598984850727,0.00457740018749951
"2011-05-09",1.09484051945667,-0.0209376003230442
"2011-05-10",1.08079550995195,-0.0288667027418777
"2011-05-11",1.06282576250067,0.0316758080531486
"2011-05-12",1.06939131974358,0.0686809824552363
"2011-05-13",1.07568715755243,-0.0762488796915174
"2011-05-16",1.05986281897543,0.0249897455388286
"2011-05-17",1.03990643373989,-0.0596680298160858
"2011-05-18",0.988021833780075,-0.081924340423811
"2011-05-19",0.942063845608255,0.011918689132933
"2011-05-20",0.913949594798251,-0.0234370822295333
"2011-05-23",1.09213663851549,0.137396605774726
"2011-05-24",1.06932761599713,-0.0181859380607454
"2011-05-25",1.06811421625734,0.041465746552124
"2011-05-26",1.04785977397747,0.000170414596174111
"2011-05-27",1.04083103170181,0.0275192863898528
"2011-05-30",1.02910361352407,0.0237580338650685
"2011-05-31",1.04756804636989,-0.114514456856616
"2011-06-01",1.02111768850138,-0.00817530920219343
"2011-06-02",1.04715290477604,0.133470903723673
"2011-06-03",1.04929490808927,-0.128043779891696
"2011-06-07",1.03529474633695,-0.0920956235220105
"2011-06-08",1.01210441889576,-0.0323220040624875
"2011-06-09",1.03471061306949,0.163054393246353
"2011-06-10",1.02481518019949,-0.0293267069915145
"2011-06-13",0.998551049136038,0.00995005214392921
"2011-06-14",1.0127956806268,-0.177581818495596
"2011-06-15",1.02042939439397,0.0588940227489787
"2011-06-16",1.04875963205815,0.170310841366149
"2011-06-17",1.04402129926645,0.102120140798215
"2011-06-20",1.02779898017846,0.0379489598819872
"2011-06-21",1.03825103567707,-0.150337710242656
"2011-06-22",1.03241528599121,-0.0187888896038175
"2011-06-23",1.06314114673262,-0.115666137893843
"2011-06-24",1.11016692197398,-0.0668612166679654
"2011-06-27",1.10008383414491,0.0303878105064745
"2011-06-28",1.08981504354532,0.023480997740499
"2011-06-29",1.09404855605035,0.0699415901249507
"2011-06-30",1.09694983724397,-0.0827939633796694
"2011-07-01",1.08815065391304,-0.0171731432628548
"2011-07-04",1.11309817792102,-0.117971854050914
"2011-07-05",1.10509217776784,0.0303233224462584
"2011-07-06",1.10011205621501,0.0310123269460781
"2011-07-07",1.08947053837176,0.0282468574191822
"2011-07-08",1.10103757684245,-0.0392056146544638
"2011-07-11",1.0846641065213,-0.0325540740190619
"2011-07-12",1.10725454441706,0.0821350436872168
"2011-07-13",1.11828751739606,-0.178889612469731
"2011-07-14",1.10584934196063,-0.0605772123197295
"2011-07-15",1.08241487661948,-0.0506827428837236
"2011-07-18",1.0956617864811,0.00243463233775082
"2011-07-19",1.09043771181922,0.0223852608934513
"2011-07-20",1.07588185678765,-0.0181810555837444
"2011-07-21",1.07267083585158,0.0117417114228568
"2011-07-22",1.06228921418483,-0.0635143107511234
"2011-07-25",1.14474279321974,0.122975697243897
"2011-07-26",1.12844987038616,-0.0790112075406969
"2011-07-27",1.12107828294242,-0.101542206641886
"2011-07-28",1.11357568160372,-0.031166573748889
"2011-07-29",1.10787175678958,-0.0691596211182193
"2011-08-01",1.08961981154472,-0.115380666989117
"2011-08-02",1.0765050804863,-0.0433557695719725
"2011-08-03",1.06868005002076,-0.0746390613423854
"2011-08-04",1.04772458901045,-0.0891916507835896
"2011-08-05",1.08751474906315,0.116996777097267
"2011-08-08",1.2055411641654,0.140641075748894
"2011-08-09",1.20043669425983,-0.0894536982141085
"2011-08-10",1.22644103771551,-0.093425291720183
"2011-08-11",1.24503778890006,-0.0922769740441179
"2011-08-12",1.21400254154678,-0.0506975489649798
"2011-08-15",1.22589031713793,-0.0671273257137661
