x,y,value
62,37,7
62,38,10
62,39,11
62,40,10
62,41,11
62,42,10
62,43,3
62,44,1
62,45,8
62,46,4
62,47,7
62,48,9
62,49,9
62,50,11
62,51,10
62,52,8
62,53,6
62,54,13
62,55,13
62,56,4
62,57,3
62,58,6
62,59,11
62,60,7
62,61,10
63,1,28
63,2,7
63,3,12
63,4,6
63,5,6
63,6,7
63,7,9
63,8,14
63,9,14
63,10,5
63,11,7
63,12,10
63,13,13
63,14,19
63,15,3
63,16,2
63,17,12
63,18,6
63,19,6
63,20,4
63,21,7
63,22,8
63,23,8
63,24,6
63,25,8
63,26,7
63,27,2
63,28,4
63,29,2
63,30,2
63,31,2
63,32,6
63,33,5
63,34,12
63,35,12
63,36,4
63,37,7
63,38,6
63,39,7
63,40,10
63,41,10
63,42,10
63,43,3
63,44,1
63,45,7
63,46,4
63,47,6
63,48,8
63,49,8
63,50,10
63,51,7
63,52,7
63,53,4
63,54,12
63,55,12
63,56,5
63,57,3
63,58,3
63,59,9
63,60,6
63,61,8
63,62,37
64,1,52
64,2,12
64,3,28
64,4,8
64,5,15
64,6,12
64,7,17
64,8,9
64,9,20
64,10,3
64,11,8
64,12,19
64,13,27
64,14,24
64,15,5
64,16,9
64,17,10
64,18,12
64,19,9
64,20,12
64,21,17
64,22,63
64,23,16
64,24,9
64,25,9
64,26,13
64,27,7
64,28,3
64,29,7
64,30,4
64,31,4
64,32,10
64,33,12
64,34,15
64,35,15
64,36,7
64,37,9
64,38,10
64,39,11
64,40,7
64,41,9
64,42,9
64,43,2
64,44,1
64,45,10
64,46,6
64,47,9
64,48,11
64,49,10
64,50,14
64,51,8
64,52,18
64,53,9
64,54,14
64,55,14
64,56,7
64,57,6
64,58,13
64,59,20
64,60,47
64,61,47
64,62,12
64,63,11
65,1,50
65,2,11
65,3,26
65,4,8
65,5,15
65,6,12
65,7,16
65,8,9
65,9,19
65,10,3
65,11,8
65,12,19
65,13,24
65,14,23
65,15,4
65,16,10
65,17,9
65,18,12
65,19,9
65,20,11
65,21,15
65,22,61
65,23,15
65,24,8
65,25,9
65,26,13
65,27,7
65,28,3
65,29,7
65,30,4
65,31,4
65,32,9
65,33,11
65,34,15
65,35,15
65,36,6
65,37,9
65,38,9
65,39,11
65,40,7
65,41,9
65,42,9
65,43,2
65,44,1
65,45,10
65,46,6
65,47,9
65,48,11
65,49,10
65,50,15
65,51,8
65,52,17
65,53,9
65,54,14
65,55,14
65,56,7
65,57,6
65,58,13
65,59,20
65,60,44
65,61,48
65,62,12
65,63,11
65,64,78
66,1,16
66,2,6
66,3,14
66,4,6
66,5,1
66,6,6
66,7,4
66,8,1
66,9,4
66,10,1
66,11,2
66,12,2
66,13,4
66,14,3
66,15,1
66,16,4
66,17,1
66,18,3
66,19,3
66,20,16
66,21,5
66,22,5
66,23,1
66,24,3
66,25,1
66,26,5
66,27,1
66,28,4
66,29,1
66,30,5
66,31,1
66,32,2
66,33,2
66,34,4
66,35,4
66,36,2
66,37,3
66,38,4
66,39,5
66,40,2
66,41,2
66,42,2
66,43,1
66,44,1
66,45,4
66,46,35
66,47,15
66,48,4
66,49,3
66,50,4
66,51,6
66,52,6
66,53,9
66,54,6
66,55,6
66,56,6
66,57,10
66,58,3
66,59,6
66,60,4
66,61,5
66,62,2
66,63,2
66,64,4
66,65,4
67,1,48
67,2,12
67,3,26
67,4,7
67,5,16
67,6,19
67,7,26
67,8,11
67,9,31
67,10,4
67,11,12
67,12,27
67,13,13
67,14,13
67,15,5
67,16,7
67,17,8
67,18,11
67,19,12
67,20,19
67,21,11
67,22,27
67,23,15
67,24,15
67,25,7
67,26,19
67,27,8
67,28,10
67,29,9
67,30,14
67,31,6
67,32,10
67,33,13
67,34,12
67,35,12
67,36,5
67,37,4
67,38,23
67,39,28
67,40,12
67,41,13
67,42,18
67,43,5
67,44,3
67,45,14
67,46,10
67,47,12
67,48,30
67,49,31
67,50,34
67,51,19
67,52,10
67,53,12
67,54,24
67,55,23
67,56,4
67,57,3
67,58,12
67,59,22
67,60,12
67,61,16
67,62,10
67,63,8
67,64,18
67,65,19
67,66,8
68,1,39
68,2,9
68,3,16
68,4,10
68,5,12
68,6,9
68,7,11
68,8,9
68,9,16
68,10,7
68,11,11
68,12,11
68,13,10
68,14,11
68,15,4
68,16,3
68,17,6
68,18,7
68,19,6
68,20,17
68,21,12
68,22,14
68,23,9
68,24,18
68,25,4
68,26,54
68,27,15
68,28,22
68,29,19
68,30,21
68,31,19
68,32,8
68,33,10
68,34,8
68,35,8
68,36,7
68,37,7
68,38,15
68,39,10
68,40,4
68,41,5
68,42,5
68,43,1
68,44,1
68,45,6
68,46,6
68,47,9
68,48,9
68,49,6
68,50,14
68,51,8
68,52,10
68,53,12
68,54,14
68,55,14
68,56,4
68,57,4
68,58,5
68,59,7
68,60,6
68,61,9
68,62,8
68,63,6
68,64,10
68,65,10
68,66,5
68,67,11
69,1,37
69,2,9
69,3,16
69,4,10
69,5,12
69,6,9
69,7,11
69,8,9
69,9,16
69,10,7
69,11,11
69,12,11
69,13,9
69,14,10
69,15,4
69,16,3
69,17,6
69,18,7
69,19,6
69,20,17
69,21,11
69,22,13
69,23,9
69,24,17
69,25,4
69,26,50
69,27,15
69,28,21
69,29,19
69,30,20
69,31,19
69,32,7
69,33,9
69,34,7
69,35,7
69,36,7
69,37,7
69,38,15
69,39,10
69,40,4
69,41,5
69,42,5
69,43,1
69,44,1
69,45,6
69,46,6
69,47,9
69,48,9
69,49,6
69,50,14
69,51,8
69,52,9
